x, y, z
-1.29763,0.10932,-0.663619
-1.22858,0.154466,-0.65992
-1.3322,0.296493,-0.662645
-0.567443,-0.303923,-0.742816
-0.489898,-0.222551,-0.738329
-0.484177,-0.163288,-0.731695
-0.756419,-0.220436,-0.690146
-0.722435,-0.275041,-0.736227
-0.520533,-0.158898,-0.723446
-0.661593,-0.16565,-0.701621
-1.41793,0.184401,-0.773641
-1.30355,0.033837,-0.768596
-1.30773,0.080712,-0.713444
-1.4228,0.241404,-0.728002
-1.48638,0.349001,-0.802288
-1.49125,0.406004,-0.756648
-1.52624,0.505097,-0.777501
-1.54014,0.662282,-1.28982
-1.56469,0.631889,-1.22551
-1.54982,0.743799,-1.17889
-1.53927,0.721691,-1.27235
-1.38013,1.03041,-0.893182
-1.49375,0.861902,-0.911979
-1.4654,0.867863,-0.847276
-1.4963,0.883885,-1.00024
-1.37118,1.05466,-1.03772
-1.45878,0.964257,-1.03916
-1.23519,1.03148,-1.44725
-1.31498,0.914731,-1.42628
-1.36924,0.917004,-1.35779
-1.40926,0.942738,-1.32468
-1.41481,0.989957,-1.25705
-1.3272,1.08036,-1.25561
-0.888033,1.1626,-1.62667
-0.809422,1.16783,-1.64664
-0.749425,1.08437,-1.84944
-0.858424,0.962751,-1.84885
-0.960582,1.05753,-1.65179
-1.42277,0.167263,-1.13855
-1.44123,0.208192,-1.24951
-1.40631,0.20999,-1.3066
-1.28784,0.010799,-1.38557
-1.33373,-0.01266,-1.22533
-0.919728,-0.205474,-1.87506
-1.01048,-0.221966,-1.72003
-1.10246,-0.100349,-1.63684
-0.911093,-0.378825,-1.76071
-0.820346,-0.362332,-1.91574
-0.744692,-0.470111,-1.9618
-0.763369,-0.519758,-1.65687
-0.861841,-0.477394,-1.69185
-0.727238,-0.529511,-1.87804
-0.664085,-0.560946,-1.8571
-1.33286,-0.022107,-1.03053
-1.27601,-0.073184,-0.946684
-1.29589,-0.007065,-0.836611
-0.541656,-0.505282,-1.18196
-0.696337,-0.4743,-1.15947
-0.775918,-0.463006,-1.23495
-0.167985,-0.530093,-1.09807
-0.351041,-0.547846,-1.13055
-0.316209,-0.605342,-1.33259
-0.137372,-0.609183,-1.29677
0.201273,-0.531588,-1.26055
0.199852,-0.454902,-1.03586
0.020178,-0.488968,-1.06258
0.050791,-0.568058,-1.26128
0.341059,-0.208261,-0.722942
0.353423,-0.321686,-0.817222
0.543638,-0.263836,-0.802054
0.526574,-0.177452,-0.703907
0.40821,-0.138933,-0.705076
0.789944,-0.19919,-0.82206
0.948136,-0.066281,-0.721482
0.827932,-0.044991,-0.715716
0.772879,-0.112806,-0.723913
0.97113,-0.094892,-0.815045
1.05161,0.033322,-0.697804
1.15815,0.177275,-0.707139
1.06039,0.090819,-0.682296
1.07461,0.004711,-0.791367
1.17794,0.138727,-0.799084
1.40149,0.711842,-1.32606
1.43391,0.760932,-1.13167
1.40214,0.595759,-1.06993
1.36662,0.557441,-1.2542
1.28254,0.291151,-0.834761
1.36189,0.456257,-0.863852
1.32775,0.493244,-0.780979
1.26275,0.329699,-0.742816
0.547514,-0.41579,-1.43997
0.576161,-0.395238,-1.53574
0.648475,-0.331202,-1.50489
0.639948,-0.357988,-1.34492
0.37774,-0.541396,-1.75078
0.469825,-0.474146,-1.63978
0.441178,-0.494698,-1.544
0.339555,-0.536513,-1.52735
0.43196,-0.476818,-1.75397
0.3446,-0.564574,-1.69249
0.404759,-0.462389,-1.90816
0.350539,-0.526966,-1.90497
0.312965,-0.551323,-1.98557
0.217977,-0.619678,-1.67184
0.212933,-0.591617,-1.5067
0.062451,-0.628087,-1.50743
-0.509906,-0.612554,-1.91902
-0.405215,-0.667012,-2.00597
-0.336333,-0.674744,-1.88582
-0.404913,-0.639362,-1.83788
-0.157874,-0.737592,-1.83772
-0.110898,-0.778998,-1.93094
-0.023544,-0.764879,-1.89355
-0.038595,-0.73561,-1.77692
0.181202,-0.697558,-1.8623
0.106522,-0.743236,-1.94077
0.191779,-0.700884,-1.95872
0.115294,-0.682468,-2.33476
0.211668,-0.623346,-2.27858
0.227442,-0.638823,-2.07317
0.006425,-0.722643,-2.42293
0.00443,-0.756909,-2.2501
-0.091481,-0.769389,-2.30451
-0.094544,-0.735439,-2.47765
-0.090075,-0.641382,-3.04261
-0.017274,-0.647172,-2.95743
-0.002953,-0.682643,-2.67745
-0.103923,-0.695439,-2.73217
0.410231,-0.354868,-2.52813
0.390181,-0.335368,-2.86102
0.448602,-0.214662,-2.95219
0.469756,-0.24773,-2.56962
0.517418,-0.00103,-3.41842
0.486947,0.045145,-3.83199
0.568112,0.222241,-3.83186
0.601795,0.177764,-3.421
0.538443,0.275511,-4.21921
0.457277,0.098414,-4.21933
0.433715,0.181213,-4.71434
0.510496,0.338704,-4.69836
0.298383,0.096809,-5.30224
0.181985,-0.044353,-5.3002
0.140685,0.290235,-5.33606
0.087588,-0.127252,-5.31551
0.002339,-0.175404,-5.33866
0.046289,0.207336,-5.35138
-0.04383,-0.409648,-4.25601
-0.024407,-0.303707,-4.77028
0.060843,-0.255556,-4.74714
0.068399,-0.352602,-4.26043
-0.0983,-0.401534,-4.25705
-0.168907,-0.367976,-4.27256
-0.140708,-0.268002,-4.78781
-0.078876,-0.295594,-4.77132
-0.291475,-0.692811,-2.5785
-0.199713,-0.719628,-2.5464
-0.19665,-0.753577,-2.37326
-0.278395,-0.730171,-2.43261
-0.815429,0.526225,-2.36074
-0.956663,0.532501,-2.03251
-0.973817,0.627023,-1.98971
-0.55307,0.754221,-3.16102
-0.58264,0.605639,-3.14535
-0.680461,0.564115,-2.76587
-0.647143,0.736522,-2.77246
-0.44241,0.796745,-3.85685
-0.479251,0.664408,-3.83828
-0.520081,0.633599,-3.48804
-0.490512,0.78218,-3.50371
-0.345081,0.909903,-5.2465
-0.313529,0.952436,-5.28116
-0.205757,0.97167,-5.2803
-0.472046,0.425958,-4.20003
-0.475499,0.556183,-4.20796
-0.447399,0.598726,-4.6913
-0.456909,0.493285,-4.60441
-0.234248,-0.32378,-4.27658
-0.284878,-0.231726,-4.28041
-0.267989,-0.126997,-4.78272
-0.206049,-0.223806,-4.79182
-0.368548,-0.469225,-3.10309
-0.332313,-0.536329,-3.15171
-0.321496,-0.576491,-3.03182
-0.475398,-0.62332,-2.25436
-0.625572,-0.546027,-2.0757
-0.610969,-0.527578,-2.13618
-0.457728,-0.631921,-2.14172
-0.562419,-0.577462,-2.05477
-0.540153,-0.504947,-2.32772
-0.50421,-0.542347,-2.39003
-0.744481,-0.347935,-2.07389
-0.630293,-0.313572,-2.3661
-0.598011,-0.433083,-2.31149
-0.668827,-0.455713,-2.11995
-0.493709,-0.260078,-2.78257
-0.413678,-0.199421,-3.14845
-0.375894,-0.342968,-3.14643
-0.461426,-0.379589,-2.72796
-0.366909,-0.260934,-3.4613
-0.404693,-0.117387,-3.46333
-0.383394,-0.035869,-3.83573
-0.345202,-0.178809,-3.84597
-0.396587,0.460526,-5.32646
-0.417446,0.650811,-5.29788
-0.183605,0.566852,-5.34361
-0.426956,0.545371,-5.21099
-0.329986,-0.090791,-4.2654
-0.368178,0.052149,-4.25516
-0.358357,0.16595,-4.7559
-0.313097,0.013937,-4.7677
-1.12009,0.519841,-0.72734
-1.13393,0.62586,-0.730725
-0.398075,0.843156,-0.650259
-0.41546,0.905215,-0.652355
-0.489195,0.931909,-0.680508
-0.47181,0.86985,-0.678412
-0.903187,0.822092,-0.750584
-0.302207,1.08887,-0.574263
-0.349485,1.0749,-0.606168
-0.245528,1.02517,-0.530076
-0.247181,0.968372,-0.533068
0.248098,1.136,-0.497461
0.225671,1.12443,-0.524005
-0.147765,0.761273,-0.518233
-0.114324,0.760739,-0.52297
-0.12936,0.850644,-0.503235
-0.154127,0.964547,-0.504298
-0.101803,0.877135,-0.510015
-0.126569,0.991039,-0.511078
-0.29166,0.896209,-0.581733
-0.266816,0.864934,-0.565199
-0.222337,0.937096,-0.516534
-0.329847,0.887433,-0.608826
-0.407366,0.984865,-0.643257
-0.399928,0.933267,-0.641437
-0.16697,1.1209,-0.557153
-0.17006,1.15872,-0.57847
-0.377743,1.06317,-0.631055
-0.340099,1.13631,-0.603604
-0.368357,1.12459,-0.628491
0.453243,1.3036,-0.760378
0.489982,1.32464,-0.794775
0.35799,1.41606,-0.736712
0.380392,1.42532,-0.746653
0.53292,1.36445,-0.826446
0.565163,1.4062,-0.844833
0.484389,1.51688,-0.820186
0.515458,1.58132,-0.846433
0.141555,1.26311,-0.655615
0.219879,1.26725,-0.652433
0.123126,1.57249,-0.991078
0.163277,1.57173,-0.937943
0.228338,1.50919,-0.851214
0.24931,1.44995,-0.811578
-0.134179,1.20915,-0.607756
-0.216777,1.22731,-0.607009
-0.252658,1.17688,-0.577723
-0.405615,1.31953,-0.696612
-0.388208,1.27811,-0.660335
-0.340312,1.26695,-0.651093
-0.357719,1.30837,-0.687371
-0.145966,1.24991,-0.634649
-0.21534,1.2624,-0.638902
-0.324401,1.32104,-0.698714
-0.296342,1.25699,-0.642716
-0.280432,1.31108,-0.690337
0.05591,1.2061,-0.621778
0.165728,1.20971,-0.594763
0.178146,1.18047,-0.540493
0.23861,1.20024,-0.520886
0.226192,1.22947,-0.575157
0.256917,1.17444,-0.503765
0.183542,1.02952,-0.59766
0.192868,1.1324,-0.533864
0.15074,1.03749,-0.60752
-0.172015,0.093301,-0.794141
-0.275041,-0.026766,-0.792681
0.10154,1.01642,-0.614236
-0.150562,1.33637,-0.747548
-0.16115,1.37088,-0.803079
0.105232,0.973797,-0.621543
0.149671,0.941386,-0.639136
0.190002,0.715083,-0.63745
0.116479,0.717338,-0.642926
0.125091,0.61628,-0.653887
0.198614,0.614024,-0.648411
0.550686,0.375268,-0.58815
0.605054,0.300675,-0.60055
0.579839,0.261722,-0.597459
0.512624,0.398972,-0.584738
0.779829,0.272182,-0.652087
0.848586,0.257724,-0.668912
0.885053,0.364723,-0.712159
0.816297,0.379181,-0.695334
0.534549,1.30515,-0.811089
0.557617,1.24677,-0.810507
1.03262,1.34337,-0.921204
0.890284,1.35739,-0.913602
0.918378,1.27906,-0.905407
1.06072,1.26504,-0.913009
0.947607,0.626345,-0.804545
1.04628,0.593889,-0.799416
0.923907,0.477904,-0.761092
0.968792,0.33806,-0.711134
1.00765,0.451242,-0.760067
0.915794,0.248783,-0.680592
1.02039,0.161283,-0.671344
0.991021,0.205585,-0.669047
-0.34988,0.101556,-0.757715
-0.420464,-0.009206,-0.759687
-0.231171,1.47025,-1.60431
-0.281389,1.40477,-1.62278
-0.424551,1.38886,-1.50799
-0.375902,1.36977,-1.58456
-0.532265,1.25315,-1.65661
-0.077242,1.40084,-0.86399
-0.133029,1.47396,-0.989775
0.085166,1.54565,-1.05457
0.130401,1.63133,-0.996631
0.092441,1.6045,-1.06012
-1.51108,0.693594,-0.791702
-1.53943,0.687633,-0.856405
-1.49559,0.849454,-1.26494
-1.52809,0.794193,-1.25186
-1.28565,0.623264,-1.47413
-1.35286,0.615581,-1.41442
-1.47553,0.514555,-1.3675
-1.4889,0.413157,-1.34055
-1.19138,1.20749,-1.26869
-1.23477,1.18928,-1.08543
-1.12412,1.28071,-1.10307
-1.08072,1.29892,-1.28632
-1.09472,0.707846,-1.74499
-1.13382,0.657678,-1.71829
-1.22938,0.725509,-1.56095
-1.19029,0.775676,-1.58764
-0.992132,0.26156,-1.96505
-0.963645,0.358876,-2.02433
-1.2338,0.604528,-1.56921
-1.11667,0.563156,-1.7611
-1.55613,0.526162,-1.25744
-1.53158,0.556554,-1.32175
-1.56238,0.503628,-1.13692
-1.52381,0.411359,-1.28346
-1.53007,0.388825,-1.16295
-1.36516,0.656014,-1.39495
-1.42624,0.659145,-1.34036
-1.3966,0.749649,-1.3428
-1.33551,0.746518,-1.39739
0.776841,-0.277622,-1.14543
0.926301,-0.168034,-1.13222
1.23634,0.259439,-1.18135
1.18063,0.216701,-1.34231
1.2529,0.36629,-1.38841
1.30861,0.409028,-1.22745
-1.12939,1.26788,-0.975985
-0.419616,1.35082,-0.7473
0.068356,1.61652,-1.10319
0.034059,1.67942,-1.16889
-0.031671,1.63083,-1.17252
0.002626,1.56793,-1.10681
-0.02284,1.35912,-0.80501
-0.019482,1.31837,-0.738578
0.309216,1.28546,-0.638688
0.290608,1.45624,-0.777844
0.34578,1.44793,-0.761159
0.479325,1.68425,-0.872967
0.384659,1.71161,-0.895162
0.487669,1.77496,-0.917027
0.523551,1.74021,-0.897351
